"CUSTOMER_ID","NAME","SIGNUP_DATE"
9859,Mahmut,"07/04/2025"
233,Halil,"07/04/2025"
9381,Furkan,"07/04/2025"
9192,Furkan,"07/04/2025"
8932,Serkan,"07/04/2025"
8494,Osman,"07/04/2025"
8387,Hacer,"07/04/2025"
8263,Ahmet,"07/04/2025"
8277,Yağmur,"07/04/2025"
8071,İsmail,"07/04/2025"
7807,Osman,"07/04/2025"
7648,Adem,"07/04/2025"
6916,Özlem,"07/04/2025"
7033,Kadir,"07/04/2025"
6518,Yasin,"07/04/2025"
6373,Furkan,"07/04/2025"
5011,Merve,"07/04/2025"
4805,Esra,"07/04/2025"
4838,Hasan,"07/04/2025"
3791,Ramazan,"07/04/2025"
3895,Burak,"07/04/2025"
2385,Hasan,"07/04/2025"
2222,Halil,"07/04/2025"
2099,Ramazan,"07/04/2025"
2137,Sevim,"07/04/2025"
1966,Merve,"07/04/2025"
1721,Songül,"07/04/2025"
1531,Leyla,"07/04/2025"
1033,Rabia,"07/04/2025"
832,Ayşe,"07/04/2025"
719,Emine,"07/04/2025"
587,Merve,"07/04/2025"
613,Yasemin,"07/04/2025"
414,Songül,"07/04/2025"
9267,Esra,"07/04/2025"
9604,Osman,"08/04/2025"
9901,Yasemin,"08/04/2025"
8464,Yusuf,"08/04/2025"
8511,Merve,"08/04/2025"
8523,Hatice,"08/04/2025"
7626,Muhammed,"08/04/2025"
7075,Burak,"08/04/2025"
7141,Tuğba,"08/04/2025"
6728,Fatma,"08/04/2025"
6396,Büşra,"08/04/2025"
5412,Merve,"08/04/2025"
4100,Meryem,"08/04/2025"
3116,Yağmur,"08/04/2025"
2923,Hakan,"08/04/2025"
2551,Aysel,"08/04/2025"
1929,Sultan,"08/04/2025"
615,Büşra,"08/04/2025"
9125,Merve,"08/04/2025"
9761,Ömer,"09/04/2025"
34,Recep,"09/04/2025"
9206,Burak,"09/04/2025"
8960,Yağmur,"09/04/2025"
8884,Metin,"09/04/2025"
8336,Recep,"09/04/2025"
6637,Emre,"09/04/2025"
6281,Fatma,"09/04/2025"
6170,Zehra,"09/04/2025"
5865,Enes,"09/04/2025"
5039,Emre,"09/04/2025"
4966,Abdullah,"09/04/2025"
4974,Ali,"09/04/2025"
5005,Zehra,"09/04/2025"
4254,Ömer,"09/04/2025"
4135,Tuğba,"09/04/2025"
3886,Melek,"09/04/2025"
3339,Aysel,"09/04/2025"
2658,Burak,"09/04/2025"
2036,Zehra,"09/04/2025"
2144,Rabia,"09/04/2025"
1471,Adem,"09/04/2025"
1366,Aysel,"09/04/2025"
1116,Süleyman,"09/04/2025"
1143,Muhammed,"09/04/2025"
775,Metin,"09/04/2025"
355,Yusuf,"09/04/2025"
186,Osman,"09/04/2025"
9307,Meryem,"09/04/2025"
9098,Dilek,"10/04/2025"
1,Emine,"10/04/2025"
8509,Hatice,"10/04/2025"
8520,Hülya,"10/04/2025"
7286,Yağmur,"10/04/2025"
7051,Enes,"10/04/2025"
6912,Ahmet,"10/04/2025"
5975,Ali,"10/04/2025"
5873,Murat,"10/04/2025"
5405,Melek,"10/04/2025"
4947,Ahmet,"10/04/2025"
4733,Osman,"10/04/2025"
3810,Metin,"10/04/2025"
3724,Rabia,"10/04/2025"
3733,Emre,"10/04/2025"
2915,Fatma,"10/04/2025"
2421,Fadime,"10/04/2025"
2249,Merve,"10/04/2025"
2088,Dilek,"10/04/2025"
1191,Hacer,"10/04/2025"
409,Serkan,"10/04/2025"
8495,Ahmet,"10/04/2025"
9687,Recep,"11/04/2025"
651,Abdullah,"11/04/2025"
9155,Abdullah,"11/04/2025"
8853,Abdullah,"11/04/2025"
8568,Halil,"11/04/2025"
7828,Osman,"11/04/2025"
7116,Mustafa,"11/04/2025"
6677,Emre,"11/04/2025"
6688,Burak,"11/04/2025"
6338,Yusuf,"11/04/2025"
6067,Fadime,"11/04/2025"
4883,Hülya,"11/04/2025"
4846,Fatma,"11/04/2025"
4147,Havva,"11/04/2025"
3212,Recep,"11/04/2025"
2236,Sevim,"11/04/2025"
2163,Hülya,"11/04/2025"
1554,Dilek,"11/04/2025"
9103,Serkan,"11/04/2025"
9617,Yusuf,"12/04/2025"
146,Zeynep,"12/04/2025"
9264,Adem,"12/04/2025"
8968,Merve,"12/04/2025"
8773,Sultan,"12/04/2025"
8880,Havva,"12/04/2025"
8512,Yasemin,"12/04/2025"
8260,Sultan,"12/04/2025"
7725,Meryem,"12/04/2025"
6954,Abdullah,"12/04/2025"
6977,Fatma,"12/04/2025"
6164,İsmail,"12/04/2025"
6211,Elif,"12/04/2025"
5741,Osman,"12/04/2025"
4396,Ramazan,"12/04/2025"
4369,Elif,"12/04/2025"
3374,Ömer,"12/04/2025"
2976,Yasemin,"12/04/2025"
3056,Fatih,"12/04/2025"
2239,Mustafa,"12/04/2025"
2322,Leyla,"12/04/2025"
1961,Halil,"12/04/2025"
1421,Ahmet,"12/04/2025"
1157,Hülya,"12/04/2025"
952,Osman,"12/04/2025"
1052,Meryem,"12/04/2025"
1060,Burak,"12/04/2025"
785,Rabia,"12/04/2025"
101,Fatih,"12/04/2025"
9536,Zeynep,"12/04/2025"
9856,Yağmur,"13/04/2025"
9902,Yasemin,"13/04/2025"
8988,Meryem,"13/04/2025"
9057,Hacer,"13/04/2025"
8790,Abdullah,"13/04/2025"
8867,Ayşegül,"13/04/2025"
8436,Ayşegül,"13/04/2025"
7841,Sevim,"13/04/2025"
7753,Melek,"13/04/2025"
7672,Aysel,"13/04/2025"
7391,Rabia,"13/04/2025"
7469,Osman,"13/04/2025"
7135,Mehmet,"13/04/2025"
6433,Osman,"13/04/2025"
6355,Süleyman,"13/04/2025"
6402,Songül,"13/04/2025"
6416,Emre,"13/04/2025"
5963,Tuğba,"13/04/2025"
5951,Fatma,"13/04/2025"
5679,Kadir,"13/04/2025"
4836,Süleyman,"13/04/2025"
4192,Osman,"13/04/2025"
3945,Emine,"13/04/2025"
3961,Osman,"13/04/2025"
3669,Hatice,"13/04/2025"
3696,Recep,"13/04/2025"
3714,Mahmut,"13/04/2025"
2496,Abdullah,"13/04/2025"
2341,Osman,"13/04/2025"
1985,Fatma,"13/04/2025"
1726,Ayşe,"13/04/2025"
1829,Hülya,"13/04/2025"
1703,Hülya,"13/04/2025"
1493,Fadime,"13/04/2025"
1336,Songül,"13/04/2025"
1213,Büşra,"13/04/2025"
201,Ömer,"13/04/2025"
314,Recep,"13/04/2025"
9353,Sevim,"13/04/2025"
9342,Serkan,"14/04/2025"
9881,Aynur,"14/04/2025"
8000,İsmail,"14/04/2025"
7938,Ömer,"14/04/2025"
7447,Hakan,"14/04/2025"
6813,Halil,"14/04/2025"
6821,Osman,"14/04/2025"
6708,Ayşe,"14/04/2025"
