"CUSTOMER_ID","NAME","CITY","TARIFF_NAME"
425,Abdullah,BALIKESİR,Kobiye Destek
8383,Abdullah,TOKAT,Kobiye Destek
290,Abdullah,ERZURUM,Kobiye Destek
111,Abdullah,KIRIKKALE,Kobiye Destek
140,Abdullah,İZMİR,Kobiye Destek
9891,Abdullah,KASTAMONU,Kobiye Destek
2114,Abdullah,ŞANLIURFA,Kobiye Destek
2006,Abdullah,AĞRI,Kobiye Destek
1650,Abdullah,ERZİNCAN,Kobiye Destek
1429,Abdullah,AYDIN,Kobiye Destek
1282,Abdullah,BATMAN,Kobiye Destek
1339,Abdullah,MARDİN,Kobiye Destek
858,Abdullah,SAKARYA,Kobiye Destek
870,Abdullah,IĞDIR,Kobiye Destek
723,Abdullah,KIRŞEHİR,Kobiye Destek
515,Abdullah,NEVŞEHİR,Kobiye Destek
4109,Abdullah,YALOVA,Kobiye Destek
4053,Abdullah,RİZE,Kobiye Destek
3811,Abdullah,BARTIN,Kobiye Destek
3520,Abdullah,HAKKARİ,Kobiye Destek
3149,Abdullah,KIRKLARELİ,Kobiye Destek
2361,Abdullah,ARDAHAN,Kobiye Destek
2405,Abdullah,GÜMÜŞHANE,Kobiye Destek
2448,Abdullah,MANİSA,Kobiye Destek
2496,Abdullah,SİVAS,Kobiye Destek
2196,Abdullah,ARTVİN,Kobiye Destek
2232,Abdullah,ZONGULDAK,Kobiye Destek
2292,Abdullah,AKSARAY,Kobiye Destek
2302,Abdullah,DENİZLİ,Kobiye Destek
6086,Abdullah,MALATYA,Kobiye Destek
5818,Abdullah,MERSİN,Kobiye Destek
4968,Abdullah,ELAZIĞ,Kobiye Destek
4788,Abdullah,BİNGÖL,Kobiye Destek
4840,Abdullah,AMASYA,Kobiye Destek
4630,Abdullah,OSMANİYE,Kobiye Destek
4446,Abdullah,KAYSERİ,Kobiye Destek
4456,Abdullah,KIRIKKALE,Kobiye Destek
4483,Abdullah,BOLU,Kobiye Destek
4266,Abdullah,ZONGULDAK,Kobiye Destek
8262,Abdullah,AYDIN,Kobiye Destek
7558,Abdullah,KÜTAHYA,Kobiye Destek
7642,Abdullah,ÇANAKKALE,Kobiye Destek
7488,Abdullah,MARDİN,Kobiye Destek
7259,Abdullah,KAYSERİ,Kobiye Destek
7317,Abdullah,KASTAMONU,Kobiye Destek
6919,Abdullah,MALATYA,Kobiye Destek
6324,Abdullah,ANKARA,Kobiye Destek
6336,Abdullah,SİVAS,Kobiye Destek
6188,Abdullah,ŞIRNAK,Kobiye Destek
6256,Abdullah,TEKİRDAĞ,Kobiye Destek
9822,Abdullah,KIRŞEHİR,Kobiye Destek
9380,Abdullah,ADIYAMAN,Kobiye Destek
9185,Abdullah,ISPARTA,Kobiye Destek
8790,Abdullah,GAZİANTEP,Kobiye Destek
8851,Abdullah,OSMANİYE,Kobiye Destek
8655,Abdullah,KAYSERİ,Kobiye Destek
8475,Abdullah,ADANA,Kobiye Destek
279,Abdullah,BARTIN,Kobiye Destek
383,Adem,GAZİANTEP,Kobiye Destek
8442,Adem,DİYARBAKIR,Kobiye Destek
2182,Adem,BİNGÖL,Kobiye Destek
2186,Adem,KIRIKKALE,Kobiye Destek
1952,Adem,YOZGAT,Kobiye Destek
2005,Adem,TUNCELİ,Kobiye Destek
1488,Adem,BALIKESİR,Kobiye Destek
1013,Adem,ORDU,Kobiye Destek
1068,Adem,ŞIRNAK,Kobiye Destek
535,Adem,ISPARTA,Kobiye Destek
4134,Adem,ANTALYA,Kobiye Destek
3940,Adem,BİNGÖL,Kobiye Destek
4040,Adem,ORDU,Kobiye Destek
3764,Adem,ERZURUM,Kobiye Destek
3900,Adem,ORDU,Kobiye Destek
3399,Adem,MERSİN,Kobiye Destek
2947,Adem,GÜMÜŞHANE,Kobiye Destek
2713,Adem,ELAZIĞ,Kobiye Destek
2726,Adem,BOLU,Kobiye Destek
2507,Adem,ERZURUM,Kobiye Destek
2530,Adem,DİYARBAKIR,Kobiye Destek
6031,Adem,BARTIN,Kobiye Destek
6070,Adem,KASTAMONU,Kobiye Destek
5558,Adem,BATMAN,Kobiye Destek
5562,Adem,AYDIN,Kobiye Destek
5569,Adem,DÜZCE,Kobiye Destek
5177,Adem,KASTAMONU,Kobiye Destek
5212,Adem,MUĞLA,Kobiye Destek
5262,Adem,YOZGAT,Kobiye Destek
4421,Adem,TOKAT,Kobiye Destek
8248,Adem,GİRESUN,Kobiye Destek
7611,Adem,AMASYA,Kobiye Destek
7054,Adem,KARS,Kobiye Destek
7101,Adem,GAZİANTEP,Kobiye Destek
6424,Adem,BİTLİS,Kobiye Destek
6275,Adem,AĞRI,Kobiye Destek
9642,Adem,MANİSA,Kobiye Destek
9165,Adem,BİLECİK,Kobiye Destek
8969,Adem,GÜMÜŞHANE,Kobiye Destek
9000,Adem,AKSARAY,Kobiye Destek
8716,Adem,ANKARA,Kobiye Destek
8357,Adem,BİNGÖL,Kobiye Destek
9940,Adem,MALATYA,Kobiye Destek
616,Ahmet,NEVŞEHİR,Kobiye Destek
370,Ahmet,IĞDIR,Kobiye Destek
397,Ahmet,AFYONKARAHİSAR,Kobiye Destek
1669,Ahmet,BİLECİK,Kobiye Destek
1684,Ahmet,SİİRT,Kobiye Destek
1478,Ahmet,HAKKARİ,Kobiye Destek
1552,Ahmet,DÜZCE,Kobiye Destek
1176,Ahmet,AFYONKARAHİSAR,Kobiye Destek
1002,Ahmet,KARS,Kobiye Destek
906,Ahmet,ERZİNCAN,Kobiye Destek
4117,Ahmet,TOKAT,Kobiye Destek
3847,Ahmet,SİİRT,Kobiye Destek
3849,Ahmet,ERZİNCAN,Kobiye Destek
3626,Ahmet,İZMİR,Kobiye Destek
3662,Ahmet,ERZİNCAN,Kobiye Destek
3318,Ahmet,BAYBURT,Kobiye Destek
2770,Ahmet,ŞANLIURFA,Kobiye Destek
2360,Ahmet,KOCAELİ,Kobiye Destek
5855,Ahmet,ARDAHAN,Kobiye Destek
5671,Ahmet,SİVAS,Kobiye Destek
5691,Ahmet,SİNOP,Kobiye Destek
5153,Ahmet,NEVŞEHİR,Kobiye Destek
4704,Ahmet,KOCAELİ,Kobiye Destek
