"CUSTOMER_ID","NAME","SIGNUP_DATE"
7648,Adem,"07/04/2025"
8263,Ahmet,"07/04/2025"
832,Ayşe,"07/04/2025"
3895,Burak,"07/04/2025"
719,Emine,"07/04/2025"
9267,Esra,"07/04/2025"
4805,Esra,"07/04/2025"
9381,Furkan,"07/04/2025"
6373,Furkan,"07/04/2025"
9192,Furkan,"07/04/2025"
8387,Hacer,"07/04/2025"
2222,Halil,"07/04/2025"
233,Halil,"07/04/2025"
4838,Hasan,"07/04/2025"
2385,Hasan,"07/04/2025"
7033,Kadir,"07/04/2025"
1531,Leyla,"07/04/2025"
9859,Mahmut,"07/04/2025"
1966,Merve,"07/04/2025"
587,Merve,"07/04/2025"
5011,Merve,"07/04/2025"
8494,Osman,"07/04/2025"
7807,Osman,"07/04/2025"
1033,Rabia,"07/04/2025"
3791,Ramazan,"07/04/2025"
2099,Ramazan,"07/04/2025"
8932,Serkan,"07/04/2025"
2137,Sevim,"07/04/2025"
414,Songül,"07/04/2025"
1721,Songül,"07/04/2025"
613,Yasemin,"07/04/2025"
6518,Yasin,"07/04/2025"
8277,Yağmur,"07/04/2025"
6916,Özlem,"07/04/2025"
8071,İsmail,"07/04/2025"
